tr_date,tr_time,tr_open,tr_high,tr_low,tr_close,tr_segment,stock_name
03-01-2019,12:39:59,27033.85,27037.7,27024.3,27026.1,4,BANKNIFTY
03-01-2019,12:40:59,27024.2,27041.95,27024.2,27034.15,4,BANKNIFTY
03-01-2019,12:41:59,27034.35,27040.2,27033.75,27039.45,4,BANKNIFTY
03-01-2019,12:42:59,27039.7,27039.7,27026.5,27029.2,4,BANKNIFTY
03-01-2019,12:43:59,27029.6,27033.75,27027.45,27029.9,4,BANKNIFTY
03-01-2019,12:44:59,27028.3,27034.95,27026.2,27032.15,4,BANKNIFTY
03-01-2019,12:45:59,27032.05,27046.8,27031.25,27045.05,4,BANKNIFTY
03-01-2019,12:46:59,27044,27049.2,27035.55,27036.1,4,BANKNIFTY
03-01-2019,12:47:59,27037.75,27038.3,27022.6,27022.6,4,BANKNIFTY
03-01-2019,12:48:59,27022.55,27025.75,27017.85,27018.6,4,BANKNIFTY
03-01-2019,12:49:59,27017.4,27021.25,27008,27010.55,4,BANKNIFTY
03-01-2019,12:50:59,27008.6,27015.8,27006,27014.55,4,BANKNIFTY
03-01-2019,12:51:59,27015.5,27023.25,27015.5,27020.9,4,BANKNIFTY
03-01-2019,12:52:59,27023.4,27031.15,27015.05,27017.95,4,BANKNIFTY
03-01-2019,12:53:59,27017.1,27021.1,27012,27013.45,4,BANKNIFTY
03-01-2019,12:54:59,27015,27016.6,27011.25,27014.9,4,BANKNIFTY
03-01-2019,12:55:59,27014.35,27018.45,27011.05,27018.25,4,BANKNIFTY
03-01-2019,12:56:59,27020.15,27020.15,27010.45,27017.95,4,BANKNIFTY
03-01-2019,12:57:59,27016.05,27017.95,27012.9,27013.7,4,BANKNIFTY
03-01-2019,12:58:59,27013.35,27024.95,27009.65,27010.1,4,BANKNIFTY
03-01-2019,12:59:59,27010.9,27017.05,27008.25,27015.35,4,BANKNIFTY
03-01-2019,13:00:59,27015.6,27037.4,27014.9,27034.25,4,BANKNIFTY
03-01-2019,13:01:59,27033.85,27048.15,27032.55,27045.2,4,BANKNIFTY
03-01-2019,13:02:59,27045,27047,27035.1,27035.5,4,BANKNIFTY
03-01-2019,13:03:59,27035.25,27042.85,27029.45,27037.4,4,BANKNIFTY
03-01-2019,13:04:59,27037.25,27043.15,27031.9,27040.05,4,BANKNIFTY
03-01-2019,13:05:59,27040.1,27047.75,27039.4,27042.9,4,BANKNIFTY
03-01-2019,13:06:59,27042.9,27046.55,27041.3,27043.4,4,BANKNIFTY
03-01-2019,13:07:59,27042.6,27049.6,27041.4,27049.45,4,BANKNIFTY
03-01-2019,13:08:59,27049.55,27066.5,27049.55,27066.5,4,BANKNIFTY
03-01-2019,13:09:59,27066.45,27076.2,27066.45,27073.35,4,BANKNIFTY
03-01-2019,13:10:59,27073.05,27087.8,27071.95,27085.15,4,BANKNIFTY
03-01-2019,13:11:59,27083.5,27086.5,27066.55,27068.3,4,BANKNIFTY
03-01-2019,13:12:59,27068.1,27069.35,27058.75,27061.15,4,BANKNIFTY
03-01-2019,13:13:59,27061.25,27064.55,27054.95,27063.35,4,BANKNIFTY
03-01-2019,13:14:59,27062.1,27066.75,27060.8,27062.3,4,BANKNIFTY
03-01-2019,13:15:59,27062.95,27066,27055.3,27055.3,4,BANKNIFTY
03-01-2019,13:16:59,27054.95,27054.95,27043.05,27043.05,4,BANKNIFTY
03-01-2019,13:17:59,27043.35,27062.25,27043.35,27062.25,4,BANKNIFTY
03-01-2019,14:33:59,26985.95,26993.75,26984.7,26989.55,4,BANKNIFTY
03-01-2019,14:34:59,26988.9,27017.8,26988.9,27014.05,4,BANKNIFTY
03-01-2019,14:35:59,27015.55,27023.05,27013.1,27014,4,BANKNIFTY
03-01-2019,14:36:59,27009.35,27013.45,26994.3,27000.05,4,BANKNIFTY
03-01-2019,14:37:59,27003.45,27013.35,27000.4,27003,4,BANKNIFTY
03-01-2019,14:38:59,27002.9,27018.75,27002.3,27009.35,4,BANKNIFTY
03-01-2019,14:39:59,27010.2,27019.55,27007.8,27011.25,4,BANKNIFTY
03-01-2019,14:40:59,27010.65,27015.7,26997.75,26998.1,4,BANKNIFTY
03-01-2019,14:41:59,26997.75,26999.95,26978.15,26979.2,4,BANKNIFTY
03-01-2019,14:42:59,26977.9,26994.7,26977.9,26994.3,4,BANKNIFTY
03-01-2019,14:43:59,26994.5,27005.1,26987.85,26992.2,4,BANKNIFTY
03-01-2019,14:44:59,26991.95,26995.45,26986.3,26987.7,4,BANKNIFTY
03-01-2019,14:45:59,26986.1,26987.05,26966.7,26970.2,4,BANKNIFTY
03-01-2019,14:46:59,26969.15,26985.05,26969.15,26981.1,4,BANKNIFTY
03-01-2019,14:47:59,26981.3,26985,26974.45,26983.65,4,BANKNIFTY
03-01-2019,14:48:59,26990.05,26993.4,26986.7,26989.35,4,BANKNIFTY
03-01-2019,14:49:59,26992.65,26996.3,26990.2,26993.8,4,BANKNIFTY
03-01-2019,14:50:59,26995.35,27005.25,26995.25,26995.8,4,BANKNIFTY
03-01-2019,14:51:59,26995.95,27006.75,26989.55,26990.9,4,BANKNIFTY
03-01-2019,14:52:59,26988.2,26998.85,26988.2,26997.5,4,BANKNIFTY
03-01-2019,14:53:59,27002.8,27004.9,26998.15,26998.9,4,BANKNIFTY
03-01-2019,14:54:59,27000.7,27006.95,26976.3,26976.3,4,BANKNIFTY
03-01-2019,14:55:59,26978,26982.85,26972.85,26974.75,4,BANKNIFTY
03-01-2019,14:56:59,26973.85,26992.15,26973.85,26980.1,4,BANKNIFTY
03-01-2019,14:57:59,26978.65,26984.8,26975.55,26980.65,4,BANKNIFTY
03-01-2019,14:58:59,26984.35,27017.95,26984.35,27015.85,4,BANKNIFTY
03-01-2019,14:59:59,27016.9,27023,26996.15,26996.15,4,BANKNIFTY
03-01-2019,15:00:59,26997.55,26998.1,26975.2,26984.35,4,BANKNIFTY
03-01-2019,15:01:59,26988.75,26991.5,26971.4,26972.55,4,BANKNIFTY
03-01-2019,15:02:59,26972.7,26989.45,26972.7,26983.95,4,BANKNIFTY
03-01-2019,15:03:59,26982.85,26989.05,26978.95,26980.95,4,BANKNIFTY
03-01-2019,15:04:59,26979.95,26993.6,26979.95,26992.3,4,BANKNIFTY
03-01-2019,15:05:59,26991.15,26994.85,26979.4,26981.85,4,BANKNIFTY
03-01-2019,15:06:59,26982,26982,26963.1,26967.2,4,BANKNIFTY
03-01-2019,15:07:59,26966.65,26968.5,26947.95,26961.95,4,BANKNIFTY
03-01-2019,15:08:59,26960.95,26966.3,26958.25,26958.25,4,BANKNIFTY
03-01-2019,15:09:59,26957.25,26967.95,26957.25,26957.9,4,BANKNIFTY
03-01-2019,15:10:59,26961.2,26966.3,26949.55,26963.45,4,BANKNIFTY
03-01-2019,15:11:59,26965.4,26977.5,26963.55,26963.55,4,BANKNIFTY
03-01-2019,15:12:59,26964.35,26975.15,26964.35,26972.45,4,BANKNIFTY
03-01-2019,15:13:59,26970.8,26975.65,26963.3,26965.7,4,BANKNIFTY
03-01-2019,15:14:59,26965.35,26973.3,26959.3,26959.3,4,BANKNIFTY
03-01-2019,15:15:59,26962.45,26969.25,26957.6,26962.6,4,BANKNIFTY
03-01-2019,15:16:59,26964.8,26966.55,26945.15,26950.65,4,BANKNIFTY
03-01-2019,15:17:59,26950.45,26953.5,26935.8,26940.7,4,BANKNIFTY
03-01-2019,15:18:59,26941.05,26963.55,26941.05,26958,4,BANKNIFTY
03-01-2019,15:19:59,26958.25,26964,26954.2,26955.85,4,BANKNIFTY
03-01-2019,15:20:59,26958.8,26958.8,26948.5,26950.45,4,BANKNIFTY
03-01-2019,15:21:59,26947.7,26954.6,26947.15,26950.85,4,BANKNIFTY
